RANK,PLAYER,Team,Position,PASSING_C/A,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_CAR,RUSHING_YDS,RUSHING_TD,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_TAR,ROST,DIFFERENTIAL,FFP_TOTAL,FFP_AVG,ADP,ADP_ROUND,ROUND
1,Jonathan Taylor,Ind,RB,0/0,0,0,0,320,1563,14,42,338,1,53,99.9,0,325.6,21.7,1.5,1.5,1
2,Cooper Kupp,LAR,WR,0/0,0,0,0,4,25,0,115,1355,10,156,99.9,0,315,19.7,2.9,2.9,1
3,Christian McCaffrey,Car,RB,0/0,0,0,0,207,905,6,91,671,2,106,99.7,0.1,300.1,21.4,4.9,4.9,1
4,Austin Ekeler,LAC,RB,0/0,0,0,0,231,1009,9,67,619,3,85,99.8,0,306.9,20.5,4.6,4.6,1
5,Justin Jefferson,Min,WR,0/0,0,0,0,4,23,0,101,1417,8,155,99.8,0,297.4,18.6,6.2,6.2,1
6,Ja'Marr Chase,Cin,WR,0/0,0,0,0,14,83,1,87,1302,10,135,99.8,0,290,18.1,7.5,7.5,1
7,Derrick Henry,Ten,RB,0/0,0,0,0,353,1503,11,29,218,1,37,99.7,0,275.8,18.4,6,6,1
8,Najee Harris,Pit,RB,0/0,0,0,0,273,1124,7,59,388,2,76,99.7,0,266.1,17.7,8.8,8.8,1
9,Davante Adams,LV,WR,0/0,0,0,0,0,0,0,101,1222,8,142,99.8,0,270.7,18,10.3,10.3,1
10,Dalvin Cook,Min,RB,0/0,0,0,0,264,1172,10,44,357,1,58,99.8,0,264.5,18.9,10.7,10.7,1
11,Stefon Diggs,Buf,WR,0/0,0,0,0,0,0,0,97,1198,9,147,99.8,0,272.1,17,12.6,12.6,1
12,Deebo Samuel,SF,WR,0/0,0,0,0,94,584,6,63,899,5,95,99.7,0,277.5,17.3,14,14,1
13,Tyreek Hill,Mia,WR,0/0,0,0,0,8,58,0,92,1148,7,137,99.8,0,261.5,16.3,16,16,2
14,D'Andre Swift,Det,RB,0/0,0,0,0,204,867,7,66,497,3,83,99.3,0.1,262,17.5,17.4,17.4,2
15,Alvin Kamara,NO,RB,0/0,0,0,0,223,895,7,60,586,4,85,99.7,0,275.6,18.4,14.3,14.3,2
16,Joe Mixon,Cin,RB,0/0,0,0,0,271,1137,10,42,278,2,51,99.7,0.1,262.1,17.5,15.7,15.7,2
17,CeeDee Lamb,Dal,WR,0/0,0,0,0,9,59,0,86,1111,7,130,99.6,0.1,252.4,15.8,19.8,19.8,2
18,Leonard Fournette,TB,RB,0/0,0,0,0,218,937,9,58,388,2,72,99.4,0,261.5,17.4,20.5,20.5,2
19,James Conner,Ari,RB,0/0,0,0,0,227,916,11,49,374,2,58,99,0.1,252.9,18.1,23.7,23.7,2
20,Javonte Williams,Den,RB,0/0,0,0,0,225,981,7,50,355,2,61,98.9,0,241.8,16.1,25.6,25.6,2
21,Aaron Jones,GB,RB,0/0,0,0,0,181,831,5,58,497,3,74,99.3,0.1,244.3,17.5,23.4,23.4,2
22,Cam Akers,LAR,RB,0/0,0,0,0,269,1097,8,37,281,2,48,97.9,0.2,233.4,15.6,29.6,29.6,2
23,Tee Higgins,Cin,WR,0/0,0,0,0,0,0,0,83,1131,8,130,98.4,0.2,249.6,15.6,30.8,30.8,2
24,Keenan Allen,LAC,WR,0/0,0,0,0,0,0,0,95,1042,7,140,99.2,0.1,242.9,16.2,27.7,27.7,2
25,Mike Evans,TB,WR,0/0,0,0,0,0,0,0,77,1069,9,124,99.4,0,237.3,14.8,28.2,28.2,3
26,David Montgomery,Chi,RB,0/0,0,0,0,246,984,8,45,330,2,59,97.8,0.1,237.2,15.8,34.2,34.2,3
27,Saquon Barkley,NYG,RB,0/0,0,0,0,211,855,5,52,419,2,70,98.1,0.1,223.9,16,31.4,31.4,3
28,Jaylen Waddle,Mia,WR,0/0,0,0,0,8,47,0,94,1014,6,136,98.9,0.2,242.6,15.2,34.6,34.6,3
29,Mark Andrews,Bal,TE,0/0,0,0,0,0,0,0,82,1016,8,123,99.7,0.1,236.9,14.8,25.6,25.6,3
30,Travis Kelce,KC,TE,0/0,0,0,0,2,7,0,91,1027,8,125,99.8,0,242.4,15.2,21.4,21.4,3
31,A.J. Brown,Phi,WR,0/0,0,0,0,0,0,0,77,1105,7,125,99.2,0.1,233.7,14.6,34.6,34.6,3
